Date,Amount,lag_1,lag_2,lag_3,rolling_mean_7,rolling_std_7
2023-12-18,60.0,130.0,90.0,160.0,93.98571428571428,51.046071627218815
2023-12-18,100.0,60.0,130.0,90.0,87.91428571428571,46.65245361790901
2023-12-18,60.0,100.0,60.0,130.0,90.0,44.721359549992705
2023-12-18,30.0,60.0,100.0,60.0,90.0,44.721359549992705
2023-12-18,30.0,30.0,60.0,100.0,71.42857142857143,37.16116764785652
2023-12-18,90.0,30.0,30.0,60.0,71.42857142857143,37.16116764785652
2023-12-18,160.0,90.0,30.0,30.0,75.71428571428571,45.77377082170327
2023-12-18,60.0,160.0,90.0,30.0,75.71428571428571,45.77377082170327
2023-12-18,30.0,60.0,160.0,90.0,65.71428571428571,47.207747548163574
2023-12-18,30.0,30.0,60.0,160.0,61.42857142857143,49.135381491196625
2023-12-18,90.0,30.0,30.0,60.0,70.0,47.95831523312424
2023-12-18,160.0,90.0,30.0,30.0,88.57142857142857,54.59809869356354
2023-12-18,60.0,160.0,90.0,30.0,84.28571428571429,55.63486402641618
2023-12-16,300.0,60.0,160.0,90.0,104.28571428571429,97.10083124552105
2023-12-16,50.0,300.0,60.0,160.0,102.85714285714286,97.93097666456676
2023-12-16,160.0,50.0,300.0,60.0,121.42857142857143,94.06178314075693
2023-12-16,90.0,160.0,50.0,300.0,130.0,86.79477710860874
2023-12-16,220.0,90.0,160.0,50.0,148.57142857142858,90.63269671749518
2023-12-16,350.0,220.0,90.0,160.0,175.71428571428572,118.72336794093172
2023-12-16,130.0,350.0,220.0,90.0,185.71428571428572,109.97835284835766
2023-12-16,90.0,130.0,350.0,220.0,155.71428571428572,101.95704043977466
2023-12-16,160.0,90.0,130.0,350.0,171.42857142857142,90.81640296564714
2023-12-16,60.0,160.0,90.0,130.0,157.14285714285714,100.28530728448015
2023-12-15,400.0,60.0,160.0,90.0,201.42857142857142,129.79837844757083
2023-12-15,400.0,400.0,60.0,160.0,227.14285714285714,150.30128472663156
2023-12-15,60.0,400.0,400.0,60.0,185.71428571428572,150.75997953227238
2023-12-15,160.0,60.0,400.0,400.0,190.0,149.33184523068002
2023-12-15,90.0,160.0,60.0,400.0,190.0,149.33184523068002
2023-12-15,90.0,90.0,160.0,60.0,180.0,153.94804318340576
2023-12-15,50.0,90.0,90.0,160.0,178.57142857142858,155.28775133372716
2023-12-15,160.0,50.0,90.0,90.0,144.28571428571428,120.94863136295167
2023-12-15,60.0,160.0,50.0,90.0,95.71428571428571,46.4962876142224
2023-12-15,140.0,60.0,160.0,50.0,107.14285714285714,46.08480795022649
2023-12-15,0.0,140.0,60.0,160.0,84.28571428571429,54.42338432975744
2023-12-15,30.0,0.0,140.0,60.0,75.71428571428571,57.98193478924693
2023-12-15,900.0,30.0,0.0,140.0,191.42857142857142,317.7225504235084
2023-12-15,50.0,900.0,30.0,0.0,191.42857142857142,317.7225504235084
2023-12-15,90.0,50.0,900.0,30.0,181.42857142857142,319.97023671109184
2023-12-15,160.0,90.0,50.0,900.0,195.71428571428572,315.8510800391611
2023-12-15,60.0,160.0,90.0,50.0,184.28571428571428,319.6277596860206
2023-12-15,30.1,60.0,160.0,90.0,188.58571428571426,316.92638697638375
2023-12-15,40.6,30.1,60.0,160.0,190.1,316.0665278070422
2023-12-15,169.8,40.6,30.1,60.0,85.78571428571429,57.25977146803106
2023-12-14,300.0,169.8,40.6,30.1,121.5,96.04743619691124
2023-12-14,260.0,300.0,169.8,40.6,145.78571428571428,107.5578050564959
2023-12-14,300.0,260.0,300.0,169.8,165.78571428571428,122.60511719298064
2023-12-14,90.0,300.0,260.0,300.0,170.07142857142858,118.75491167787042
2023-12-14,60.0,90.0,300.0,260.0,174.34285714285716,113.29340753316562
2023-12-14,160.0,60.0,90.0,300.0,191.4,97.71925774039168
